sid,name,slug,sector,ticker,marketCap,price,change,turnover
COMR,Comrade Appliances Ltd,/stocks/comrade-appliances-COMR,Cables,COMRADE,Smallcap,21.60000038,3.349999905,43200
JSL,JSL Industries Ltd,/stocks/jsl-industries-JSL,Electrical Components & Equipments,JSLINDL,Smallcap,920,-2.319999933,42882.32813
CBP,Chandra Bhagat Pharma Ltd,/stocks/chandra-bhagat-pharma-CBP,Pharmaceuticals,CBPL,Smallcap,42.70000076,-4.690000057,42700
ABI,Abirami Financial Services (India) Ltd,/stocks/abirami-financial-services-india-ABI,Diversified Financials,ABIRAFN,Smallcap,33,-1.669999957,42614.30078
SHMT,Shyam Telecom Ltd,/stocks/shyam-telecom-SHMT,Telecom Equipments,SHYAMTEL,Smallcap,18.62000084,-2,42509.46094
NOVAI,Nova Iron and Steel Ltd,/stocks/nova-iron-and-steel-NOVAI,Iron & Steel,NOVIS,Smallcap,12.76000023,-4.920000076,42378.5
MODR,Modern Shares and Stockbrokers Ltd,/stocks/modern-shares-and-stockbrokers-MODR,Investment Banking & Brokerage,MODRNSH,Smallcap,36.25,6.550000191,42315.08984
DAR,Darshan Orna Ltd,/stocks/darshan-orna-DAR,"Precious Metals, Jewellery & Watches",DARSHANORNA,Smallcap,2.25999999,-0.439999998,42183
MONG,Moongipa Capital Finance Ltd,/stocks/moongipa-capital-finance-MONG,Consumer Finance,MONGIPA,Smallcap,15.31000042,-1.289999962,42051.5
MEDIA,Mediaone Global Entertainment Ltd,/stocks/mediaone-global-entertainment-MEDIA,Movies & TV Serials,MEDIAONE,Smallcap,15.30000019,3.029999971,41816.25
SAL,Shree Salasar Investments Ltd,/stocks/shree-salasar-investments-SAL,Investment Banking & Brokerage,SALSAIN,Smallcap,226,0.579999983,41799.03125
MML,Money Masters Leasing and Finance Ltd,/stocks/money-masters-leasing-and-finance-MML,Diversified Financials,MMLF,Smallcap,0.689999998,,41699.46094
SPAR,Sparc Electrex Ltd,/stocks/sparc-systems-SPAR,Electronic Equipments,SPAR,Smallcap,4.599999905,-4.960000038,41526.46875
HRH,Hrh Next Services Ltd,/stocks/hrh-next-services-HRH,Business Support Services,HRHNEXT,Smallcap,27.5,1.850000024,41250
RED,Yash Innoventures Ltd,/stocks/redex-protech-RED,Construction & Engineering,YASHINNO,Smallcap,31,-0.419999987,41013
GLOBE,Globale Tessile Ltd,/stocks/globale-tessile-GLOBE,Textiles,GLOBALE,Smallcap,11.89999962,3.660000086,40888.39844
INFO,Infomedia Press Ltd,/stocks/infomedia-press-INFO,Publishing,INFOMEDIA,Smallcap,5.690000057,-0.180000007,40859.53906
FGP,F G P Ltd,/stocks/fgp-FGP,Business Support Services,FGP,Smallcap,12.09000015,4.039999962,40829.82031
RAMG,Ramgopal Polytex Ltd,/stocks/ramgopal-polytex-RAMG,Commodities Trading,RAMGOPOLY,Smallcap,17.21999931,4.809999943,40587.51953
NATR,Natraj Proteins Ltd,/stocks/natraj-proteins-NATR,FMCG - Foods,NATRAJPR,Smallcap,39.95000076,4.039999962,40549.03906
AMPL,Ankit Metal & Power Ltd,/stocks/ankit-metal-and-power-AMPL,Iron & Steel,ANKITMETAL,Smallcap,1.470000029,-1.340000033,40442.64063
MEGR,Megri Soft Ltd,/stocks/megri-soft-MEGR,IT Services & Consulting,MEGRISOFT,Smallcap,86.36000061,5.639999866,40303.03906
GLOBU,Globus Power Generation Ltd,/stocks/globus-power-generation-GLOBU,Power Generation,GLOBUSCON,Smallcap,12.64999962,4.460000038,40273.35156
ZENIF,Zenith Fibres Ltd,/stocks/zenith-fibres-ZENIF,Textiles,ZENIFIB,Smallcap,52.09999847,-0.75999999,40078.5
HIND,Hindustan Bio Sciences Ltd,/stocks/hindustan-bio-sciences-HIND,Biotechnology,HINDBIO,Smallcap,7.010000229,-1.409999967,39485.19141
ANUB,Kaizen Agro Infrabuild Ltd,/stocks/anubhav-infrastructure-ANUB,Agro Products,KAIZENAGRO,Smallcap,9.699999809,5.090000153,39247.19922
CEYE,Creative Eye Ltd,/stocks/creative-eye-CEYE,Movies & TV Serials,CREATIVEYE,Smallcap,6.309999943,1.450000048,39109.60156
ADNK,Incredible Industries Ltd,/stocks/adhunik-industries-ADNK,Iron & Steel,INCREDIBLE,Smallcap,33.06000137,0.300000012,39010.19922
SETU,Setubandhan Infrastructure Ltd,/stocks/setubandhan-infrastructure-SETU,Construction & Engineering,SETUINFRA,Smallcap,0.460000008,,38961.12109
JAYB,Jayabharat Credit Ltd,/stocks/jayabharat-credit-JAYB,Specialized Finance,JAYBHCR,Smallcap,14.77999973,-4.949999809,38955.94922
INTEL,Gourmet Gateway India Ltd,/stocks/intellivate-capital-ventures-INTEL,Business Support Services,GOURMET,Smallcap,13.89000034,-0.07,38738.69922
AMFO,Amforge Industries Ltd,/stocks/amforge-industries-AMFO,Consumer Finance,AMFORG,Smallcap,7.139999866,,38711.51953
STAND,Standard Batteries Ltd,/stocks/standard-batteries-STAND,Diversified Financials,STDBAT,Smallcap,50.59999847,2.220000029,38576.16016
PER,Perfectpac Ltd,/stocks/perfectpac-PER,Packaging,PERFEPA,Smallcap,69,,38502
SUNG,Sungold Capital Ltd,/stocks/sungold-capital-SUNG,Diversified Financials,SUNGOLD,Smallcap,2.920000076,3.180000067,38435.73828
SAF,Saffron Industries Ltd,/stocks/saffron-industries-SAF,Paper Products,SAFFRON,Smallcap,27.98999977,-6.610000134,38224.19922
PBM,P B M Polytex Ltd,/stocks/pbm-polytex-PBM,Textiles,PBMPOLY,Smallcap,56.47000122,2.670000076,38218.05078
RLR,RLF Ltd,/stocks/rlf-RLR,Textiles,RLF,Smallcap,9.779999733,-1.710000038,38178.35938
STUD,Studio LSD Ltd,/stocks/studio-lsd-STUD,Animation,STUDIOLSD,Smallcap,9.5,-0.519999981,38080
ADTE,Adtech Systems Ltd,/stocks/adtech-systems-ADTE,Electronic Equipments,ADTECH,Smallcap,59.74000168,1.840000033,38062.57813
GFI,Raconteur Global Resources Ltd,/stocks/ganesh-films-india-GFI,Mining - Diversified,RACONTEUR,Smallcap,11.84000015,4.960000038,37888
