Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://api.moneycontrol.com/mcapi/v1/ecalendar/get-upcoming-event-data?page=1&pageSize=7,GET,MoneyControl,"explore_mc_tl.py:508, marketIntelService.ts:20",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/ecalendar/get-upcoming-event-data?page=1&pageSize=7
https://api.moneycontrol.com/mcapi/v1/fno/futures/getExpDts?id=${scId},GET,MoneyControl,marketIntelService.ts:438,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/fno/futures/getExpDts?id=BE03
https://api.moneycontrol.com/mcapi/v1/fno/futures/getExpDts?id={sc_id},GET,MoneyControl,explore_mc_tl.py:414,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/fno/futures/getExpDts?id=BE03
https://api.moneycontrol.com/mcapi/v1/fno/futures/getFuturesData?fut=FUTSTK&id=${scId}&expirydate=${expiry},GET,MoneyControl,marketIntelService.ts:444,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/fno/futures/getFuturesData?fut=FUTSTK&id=BE03&expirydate='2025-10-28
https://api.moneycontrol.com/mcapi/v1/fno/futures/getFuturesData?fut=FUTSTK&id={sc_id}&expirydate={expiry},GET,MoneyControl,explore_mc_tl.py:416,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/fno/futures/getFuturesData?fut=FUTSTK&id=BE03&expirydate='2025-10-28
https://api.moneycontrol.com/mcapi/v1/fno/options/getStrikePrice?id={sc_id}&expirydate={expiry}&optiontype=CE,GET,MoneyControl,explore_mc_tl.py:418,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/fno/options/getStrikePrice?id=BE03&expirydate=2025-09-30&optiontype=CE
https://api.moneycontrol.com/mcapi/v1/indices/chart/exchange-advdec?ex=${ex},GET,MoneyControl,indexApiService.ts:89,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/chart/exchange-advdec?ex=N
https://api.moneycontrol.com/mcapi/v1/indices/chart/exchange-advdec?ex=N,GET,MoneyControl,"explore_mc_tl.py:233, marketIntelService.ts:489",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/chart/exchange-advdec?ex=N
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/epsdetail?indId={ind_id},GET,MoneyControl,explore_mc_tl.py:279,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/epsdetail?indId=9
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pb?indId=${indId}&duration=${duration},GET,MoneyControl,indexApiService.ts:110,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pb?indId=9&duration=1Y
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pb?indId={ind_id}&duration=1Y,GET,MoneyControl,explore_mc_tl.py:285,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pb?indId=9&duration=1Y
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pe?indId=${indId}&duration=${duration},GET,MoneyControl,indexApiService.ts:99,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pe?indId=9&duration=1Y
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pe?indId={ind_id}&duration=1Y,GET,MoneyControl,explore_mc_tl.py:282,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pe?indId=9&duration=1Y
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/overview?indId=${indId},GET,MoneyControl,indexApiService.ts:61,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/overview?indId=9
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/overview?indId={ind_id},GET,MoneyControl,explore_mc_tl.py:276,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/overview?indId=9
https://api.moneycontrol.com/mcapi/v1/indices/get-indian-indices,GET,MoneyControl,"explore_mc_tl.py:224, indexApiService.ts:51, marketData.ts:38",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/get-indian-indices
https://api.moneycontrol.com/mcapi/v1/indices/get-indices-details?indexId=${indexId},GET,MoneyControl,insightService.ts:244,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/get-indices-details?indexId=4
https://api.moneycontrol.com/mcapi/v1/indices/get-indices-details?indexId={ind_id},GET,MoneyControl,explore_mc_tl.py:244,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/get-indices-details?indexId=4
https://api.moneycontrol.com/mcapi/v1/indices/get-indices-list,GET,MoneyControl,"explore_mc_tl.py:221, marketIntelService.ts:495",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/get-indices-list?appVersion=136
https://api.moneycontrol.com/mcapi/v1/indices/get-indices-list?appVersion={av},GET,MoneyControl,explore_mc_tl.py:229,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/indices/get-indices-list?appVersion=136
https://api.moneycontrol.com/mcapi/v1/premarket/article?slug=${slug}&limit=1,GET,MoneyControl,marketIntelService.ts:8,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/article?slug=international-markets&limit=1
https://api.moneycontrol.com/mcapi/v1/premarket/article?slug={slug}&limit=1,GET,MoneyControl,explore_mc_tl.py:504,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/article?slug=international-markets&limit=1
https://api.moneycontrol.com/mcapi/v1/premarket/get-global-marketdata?section=mi,GET,MoneyControl,"explore_mc_tl.py:506, marketIntelService.ts:14",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/premarket/get-global-marketdata?section=mi
