Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://api.moneycontrol.com/mcapi/v1/fno/options/getOptionsData?opt=OPTSTK&id={sc_id}&expirydate={expiry}&optiontype=CE&strikeprice=405.00,GET,MoneyControl,explore_mc_tl.py:420,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/mcinsider?classic=true&sc_did={mcsymbol}&sc_id={mcsymbol},GET,MoneyControl,moneycontrol_fetcher.py:362,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/mcinsider?sc_did={sc_id}&sc_id={sc_id},GET,MoneyControl,explore_mc_tl.py:392,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/mcinsights?sc_did={sc_id}&sc_id={sc_id},GET,MoneyControl,explore_mc_tl.py:394,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/pricechart_technicals/moving_average?sc_did=${scId}&page=mc_technicals&classic=true&period=${period},GET,MoneyControl,mcApiService.ts:625,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/pricechart_technicals/moving_average_crossovers?sc_did=${scId}&page=mc_technicals&classic=true&period=${period},GET,MoneyControl,mcApiService.ts:639,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/pricechart_technicals/pivot_level?sc_did=${scId}&page=mc_technicals&classic=true&period=${period},GET,MoneyControl,mcApiService.ts:632,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/pricechart_technicals/pivot_level?sc_did={sc_id}&page=mc_technicals&classic=true&period={period},GET,MoneyControl,explore_mc_tl.py:376,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/pricechart_technicals/technical_indicator?sc_did=${scId}&page=mc_technicals&classic=true&period=${period},GET,MoneyControl,mcApiService.ts:646,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/pricechart_technicals/technical_rating_summary?sc_did=${scId}&page=mc_technicals&classic=true&period=${period},GET,MoneyControl,mcApiService.ts:618,,,,urls_directory.csv,FAILED,
https://www.moneycontrol.com/mc/widget/pricechart_technicals/{widget}?sc_did={sc_id}&page=mc_technicals&period=D&classic=true&period={period},GET,MoneyControl,explore_mc_tl.py:372,,,,urls_directory.csv,FAILED,
https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId=${scId}&type=ed&deviceType=W,GET,MoneyControl,"insightService.ts:136, mcApiService.ts:398",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId=BE03&type=ed&deviceType=W
https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId={sc_id}&type=ed&deviceType=W,GET,MoneyControl,explore_mc_tl.py:389,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId=BE03&type=ed&deviceType=W
