name,tlid,symbol,tlname
GOLCA,3742,GOLCA,golden-carpets-ltd
PHARMABEES,569629,PHARMABEES,nippon-india-nifty-pharma-etf
TRIDHYA,1516912,TRIDHYA,tridhya-tech-ltd
REPCOHOME,1132,REPCOHOME,repco-home-finance-ltd
INDOBORAX,3018,INDOBORAX,indo-borax-chemicals-ltd
MSTCLTD,138917,MSTCLTD,mstc-ltd
WHELTEX,2557,WHELTEX,shantai-industries-ltd
ECOLINE,3264363,ECOLINE,ecoline-exim-ltd
MOHEALTH,966211,MOHEALTH,motilal-oswal-s-p-bse-healthcare-etf
MAHLIFE,818,MAHLIFE,mahindra-lifespace-developers-ltd
VIVIDEL,3464471,VIVIDEL,vivid-electromech-ltd
MKEXIM,4130,MKEXIM,m-k-exim-india-ltd
APOLLOHOSP,93,APOLLOHOSP,apollo-hospitals-enterprise-ltd
AJANTPHARM,49,AJANTPHARM,ajanta-pharma-ltd
SWANDEF,1043,SWANDEF,swan-defence-and-heavy-industries-ltd
GEMAROMA,3220743,GEMAROMA,gem-aromatics-ltd
RANEHOLDIN,1111,RANEHOLDIN,rane-holdings-ltd
TTKPRESTIG,1421,TTKPRESTIG,ttk-prestige-ltd
NELCO,926,NELCO,nelco-ltd
DEEPAKSPIN,2667,DEEPAKSPIN,deepak-spinners-ltd
AIRL,4345,AIRL,hiliks-technologies-ltd
JLHL,1665481,JLHL,jupiter-life-line-hospitals-ltd
AVALON,1416031,AVALON,avalon-technologies-ltd
BHAGYANGR,183,BHAGYANGR,bhagyanagar-india-ltd
KPL,4743,KPL,kwality-pharmaceuticals-ltd
INDIGRID,54525,INDIGRID,indigrid-infrastructure-trust
CINDRELL,3534,CINDRELL,cindrella-financial-services-ltd
SANSERA,658068,SANSERA,sansera-engineering-ltd
MARKOLINES,658069,MARKOLINES,markolines-pavement-technologies-ltd
ZOTA,87758,ZOTA,zota-healthcare-ltd
ABDL,2365668,ABDL,allied-blenders-distillers-ltd
RML,1142,RML,rane-madras-ltd
TSFINV,87798,TSFINV,tsf-investments-ltd
AEQUS,3346246,AEQUS,aequs-ltd
GPTINFRA,3916,GPTINFRA,gpt-infraprojects-ltd
NRBBEARING,956,NRBBEARING,nrb-bearings-ltd
KERNEX,731,KERNEX,kernex-microsystems-india-ltd
TIMEX,2083,TIMEX,timex-group-india-ltd
VLL,4198,VLL,virat-leasing-ltd
AXISHCETF,513603,AXISHCETF,axis-nifty-healthcare-etf
CONFINT,2173,CONFINT,longspur-international-ventures-ltd
ARCHITORG,3062,ARCHITORG,archit-organosys-ltd
ORIENTLTD,987,ORIENTLTD,orient-press-ltd
HMVL,567,HMVL,hindustan-media-ventures-ltd
PANACHE,87776,PANACHE,panache-digilife-ltd
AERONEU,1270010,AERONEU,aeroflex-neu-ltd
SAIPARENT,3461702,SAIPARENT,sai-parenterals-ltd
ADOR,31,ADOR,ador-welding-ltd
ORGCOAT,3477,ORGCOAT,organic-coatings-ltd
CUBEINVIT,1438523,CUBEINVIT,cube-highways-trust
SENORES,2867595,SENORES,senores-pharmaceuticals-ltd
MAHESHWARI,87859,MAHESHWARI,maheshwari-logistics-ltd
MANBA,2656550,MANBA,manba-finance-ltd
ASMTEC,3131,ASMTEC,asm-technologies-ltd
LICNETFGSC,1621,LICNETFGSC,lic-nomura-mf-g-sec-long-term-etf-growth-option
ZYDUSWELL,1550,ZYDUSWELL,zydus-wellness-ltd
CTL,4050,CTL,capital-trade-links-ltd
AAREYDRUGS,3023,AAREYDRUGS,aarey-drugs-pharmaceuticals-ltd
BPCAP,3999,BPCAP,b-p-capital-ltd
TEXEL,82865,TEXEL,texel-industries-ltd
THEJO,87770,THEJO,thejo-engineering-ltd
FEDDERSHOL,2478,FEDDERSHOL,fedders-holding-ltd
POKARNA,3854,POKARNA,pokarna-ltd
CEIGALL,2484735,CEIGALL,ceigall-india-ltd
GABRIEL,429,GABRIEL,gabriel-india-ltd
JBCHEPHARM,665,JBCHEPHARM,j-b-chemicals-pharmaceuticals-ltd
13570128,1804378,13570128,amic-forging-ltd
TANKUP,3074278,TANKUP,tankup-engineers-ltd
SWITCHTE,2747,SWITCHTE,switching-technologies-gunther-ltd
INDCEMCAP,2442,INDCEMCAP,india-cements-capital-ltd
SIMPLEXCAS,1243,SIMPLEXCAS,simplex-castings-ltd
SUDEV,82937,SUDEV,iirm-holdings-india-ltd
CHOLAFIN,262,CHOLAFIN,cholamandalam-investment-finance-company-ltd
CORONA,3351950,CORONA,corona-remedies-ltd
MOREPENLAB,876,MOREPENLAB,morepen-laboratories-ltd
IBULLSLTD,583,IBULLSLTD,indiabulls-ltd
