URL,HTTP Method,Provider / Domain,Code Sources / References
https://api.moneycontrol.com/mcapi/v1/indices/get-indian-indices,GET,MoneyControl,"explore_mc_tl.py:224, indexApiService.ts:51, marketData.ts:38"
https://api.moneycontrol.com/mcapi/v1/indices/get-indices-details?indexId=${indexId},GET,MoneyControl,insightService.ts:244
https://api.moneycontrol.com/mcapi/v1/indices/get-indices-details?indexId={ind_id},GET,MoneyControl,explore_mc_tl.py:244
https://api.moneycontrol.com/mcapi/v1/indices/get-indices-list,GET,MoneyControl,"explore_mc_tl.py:221, marketIntelService.ts:495"
https://api.moneycontrol.com/mcapi/v1/indices/get-indices-list?appVersion={av},GET,MoneyControl,explore_mc_tl.py:229
https://api.moneycontrol.com/mcapi/v1/premarket/article?slug=${slug}&limit=1,GET,MoneyControl,marketIntelService.ts:8
https://api.moneycontrol.com/mcapi/v1/premarket/article?slug={slug}&limit=1,GET,MoneyControl,explore_mc_tl.py:504
https://api.moneycontrol.com/mcapi/v1/premarket/get-global-marketdata?section=mi,GET,MoneyControl,"explore_mc_tl.py:506, marketIntelService.ts:14"
https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=0&limit=12,GET,MoneyControl,marketIntelService.ts:50
https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=0&limit=6,GET,MoneyControl,explore_mc_tl.py:518
https://api.moneycontrol.com/mcapi/v1/premarket/getBrokerResearchReco?sublevel=stocks&start=8&limit=24,GET,MoneyControl,explore_mc_tl.py:520
https://api.moneycontrol.com/mcapi/v1/premarket/getFllActivityData?type=cash,GET,MoneyControl,"explore_mc_tl.py:512, marketIntelService.ts:32"
https://api.moneycontrol.com/mcapi/v1/premarket/getMarketNewsData?limit=6,GET,MoneyControl,explore_mc_tl.py:516
https://api.moneycontrol.com/mcapi/v1/premarket/getMarketNewsData?limit=8,GET,MoneyControl,marketIntelService.ts:44
https://api.moneycontrol.com/mcapi/v1/premarket/getMarketViewsData?cat=all&start=0&limit=9,GET,MoneyControl,"explore_mc_tl.py:510, marketIntelService.ts:26"
https://api.moneycontrol.com/mcapi/v1/premarket/getStockToWatchData?start=0&limit=3&sortby=rank&sortorder=asc,GET,MoneyControl,explore_mc_tl.py:514
https://api.moneycontrol.com/mcapi/v1/premarket/getStockToWatchData?start=0&limit=6&sortby=rank&sortorder=asc,GET,MoneyControl,marketIntelService.ts:38
https://api.moneycontrol.com/mcapi/v1/proscanner/scanner-detail,GET,MoneyControl,moneycontrolScreener.ts:190
https://api.moneycontrol.com/mcapi/v1/proscanner/scanner-detail?catId={cat_id}&scanId={scan_id},GET,MoneyControl,explore_mc_tl.py:587
https://api.moneycontrol.com/mcapi/v1/sector/performance?dur=1d&type=top&section=sector,GET,MoneyControl,marketData.ts:170
https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId=${scId}&ex=N,GET,MoneyControl,"insightService.ts:140, mcApiService.ts:515"
https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId={mcsymbol}&ex=N,GET,MoneyControl,moneycontrol_fetcher.py:358
https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId={scId}&ex=N,GET,MoneyControl,analyst_estimates_snapshot.py:35
https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId={sc_id}&ex=N,GET,MoneyControl,explore_mc_tl.py:405
https://api.moneycontrol.com/mcapi/v1/stock/estimates/consensus?scId=${scId}&ex=N&deviceType=W,GET,MoneyControl,mcApiService.ts:545
https://api.moneycontrol.com/mcapi/v1/stock/estimates/consensus?scId={sc_id}&ex=N&deviceType=W,GET,MoneyControl,explore_mc_tl.py:403
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId=${scId}&ex=N&deviceType=W&frequency=12&financialType=C,GET,MoneyControl,"insightService.ts:141, mcApiService.ts:525"
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId={mcsymbol}&ex=N&deviceType=W&frequency=12&financialType=C,GET,MoneyControl,moneycontrol_fetcher.py:360
